Date,Open,High,Low,Close,Volume
15/06/2020 16:00:00,83.31,86.42,83.15,85.75,34702230
16/06/2020 16:00:00,87.87,88.3,86.18,88.02,41357182
17/06/2020 16:00:00,88.79,88.85,87.77,87.9,28601626
18/06/2020 16:00:00,87.85,88.36,87.31,87.93,24205096
19/06/2020 16:00:00,88.66,89.14,86.29,87.43,66118952
22/06/2020 16:00:00,87.84,89.87,87.79,89.72,33861316
23/06/2020 16:00:00,91,93.1,90.57,91.63,53038869
24/06/2020 16:00:00,91.25,92.2,89.63,90.02,48155849
25/06/2020 16:00:00,90.18,91.25,89.39,91.21,34380628
26/06/2020 16:00:00,91.1,91.33,88.26,88.41,51314211
29/06/2020 16:00:00,88.31,90.54,87.82,90.45,32661519
30/06/2020 16:00:00,90.02,91.5,90,91.2,35055821
01/07/2020 16:00:00,91.28,91.84,90.98,91.03,27684309
02/07/2020 16:00:00,91.96,92.62,90.91,91.03,28510367
06/07/2020 16:00:00,92.5,93.95,92.47,93.46,29663913
07/07/2020 16:00:00,93.85,94.66,93.06,93.17,28106114
08/07/2020 16:00:00,94.18,95.38,94.09,95.34,29272970
09/07/2020 16:00:00,96.26,96.32,94.67,95.68,31410652
10/07/2020 16:00:00,95.34,95.98,94.71,95.92,22564330
13/07/2020 16:00:00,97.27,99.96,95.26,95.48,47912285
14/07/2020 16:00:00,94.84,97.26,93.88,97.06,42747341
15/07/2020 16:00:00,98.99,99.25,96.49,97.73,38299483
16/07/2020 16:00:00,96.56,97.41,95.91,96.52,27644418
17/07/2020 16:00:00,96.99,97.15,95.84,96.33,23046725
20/07/2020 16:00:00,96.42,98.5,96.06,98.36,22579477
21/07/2020 16:00:00,99.17,99.25,96.74,97,25911459
22/07/2020 16:00:00,96.69,97.98,96.6,97.27,22250413
23/07/2020 16:00:00,97,97.08,92.01,92.85,49251108
24/07/2020 16:00:00,90.99,92.97,89.15,92.62,46359716
27/07/2020 16:00:00,93.71,94.91,93.48,94.81,30303548
28/07/2020 16:00:00,94.37,94.55,93.25,93.25,25906375
29/07/2020 16:00:00,93.75,95.23,93.71,95.04,22582314
30/07/2020 16:00:00,94.19,96.3,93.77,96.19,39532505
31/07/2020 16:00:00,102.88,106.42,100.83,106.26,93573867
03/08/2020 16:00:00,108.2,111.64,107.89,108.94,77037847
04/08/2020 16:00:00,109.13,110.79,108.39,109.67,43198092
05/08/2020 16:00:00,109.38,110.39,108.9,110.06,30497988
06/08/2020 16:00:00,110.41,114.41,109.8,113.9,50607225
07/08/2020 16:00:00,113.21,113.68,110.29,111.11,49511403
10/08/2020 16:00:00,112.6,113.78,110,112.73,53100856
11/08/2020 16:00:00,111.97,112.48,109.11,109.38,46975594
12/08/2020 16:00:00,110.5,113.28,110.3,113.01,41486205
13/08/2020 16:00:00,114.43,116.04,113.93,115.01,52520516
14/08/2020 16:00:00,114.83,115,113.05,114.91,41391302
17/08/2020 16:00:00,116.06,116.09,113.96,114.61,29890361
18/08/2020 16:00:00,114.35,116,114.01,115.56,26408385
19/08/2020 16:00:00,115.98,117.16,115.61,115.71,36384502
20/08/2020 16:00:00,115.75,118.39,115.73,118.28,31726797
21/08/2020 16:00:00,119.26,124.87,119.25,124.37,84513660
24/08/2020 16:00:00,128.7,128.79,123.94,125.86,86484442
25/08/2020 16:00:00,124.7,125.18,123.05,124.83,52873947
26/08/2020 16:00:00,126.18,126.99,125.08,126.52,40755567
27/08/2020 16:00:00,127.14,127.49,123.83,125.01,38888096
28/08/2020 16:00:00,126.01,126.44,124.58,124.81,46907479
31/08/2020 16:00:00,127.58,131,126,129.04,225702688
01/09/2020 16:00:00,132.76,134.8,130.53,134.18,152470142
02/09/2020 16:00:00,137.59,137.98,127,131.4,200118991
03/09/2020 16:00:00,126.91,128.84,120.5,120.88,257599640
04/09/2020 16:00:00,120.07,123.7,110.89,120.96,332607163
08/09/2020 16:00:00,113.95,118.99,112.68,112.82,231366563
09/09/2020 16:00:00,117.26,119.14,115.26,117.32,176940455
10/09/2020 16:00:00,120.36,120.5,112.5,113.49,182274391
11/09/2020 16:00:00,114.57,115.23,110,112,180860325
14/09/2020 16:00:00,114.72,115.93,112.8,115.36,140150087
15/09/2020 16:00:00,118.33,118.83,113.61,115.54,184642039
16/09/2020 16:00:00,115.23,116,112.04,112.13,155026675
17/09/2020 16:00:00,109.72,112.2,108.71,110.34,178010968
18/09/2020 16:00:00,110.4,110.88,106.09,106.84,287104882
21/09/2020 16:00:00,104.54,110.19,103.1,110.08,195713815
22/09/2020 16:00:00,112.68,112.86,109.16,111.81,183055373
23/09/2020 16:00:00,111.62,112.11,106.77,107.12,150718671
24/09/2020 16:00:00,105.17,110.25,105,108.22,167743349
25/09/2020 16:00:00,108.43,112.44,107.67,112.28,149981441
28/09/2020 16:00:00,115.01,115.32,112.78,114.96,137672403
29/09/2020 16:00:00,114.55,115.31,113.57,114.09,100060526
30/09/2020 16:00:00,113.79,117.26,113.62,115.81,142675184
01/10/2020 16:00:00,117.64,117.72,115.83,116.79,116120440
02/10/2020 16:00:00,112.89,115.37,112.22,113.02,144711986
05/10/2020 16:00:00,113.91,116.65,113.55,116.5,106243839
06/10/2020 16:00:00,115.7,116.12,112.25,113.16,161498212
07/10/2020 16:00:00,114.62,115.55,114.13,115.08,96848985
08/10/2020 16:00:00,116.25,116.4,114.59,114.97,83477153
09/10/2020 16:00:00,115.28,117,114.92,116.97,100506865
12/10/2020 16:00:00,120.06,125.18,119.28,124.4,240226769
13/10/2020 16:00:00,125.27,125.39,119.65,121.1,262330451
14/10/2020 16:00:00,121,123.03,119.62,121.19,151062308
15/10/2020 16:00:00,118.72,121.2,118.15,120.71,112559219
16/10/2020 16:00:00,121.28,121.55,118.81,119.02,115393808
19/10/2020 16:00:00,119.96,120.42,115.66,115.98,120639337
20/10/2020 16:00:00,116.2,118.98,115.63,117.51,124423728
21/10/2020 16:00:00,116.67,118.71,116.45,116.87,89945980
22/10/2020 16:00:00,117.45,118.04,114.59,115.75,101987954
23/10/2020 16:00:00,116.39,116.55,114.28,115.04,82572645
26/10/2020 16:00:00,114.01,116.55,112.88,115.05,111850657
27/10/2020 16:00:00,115.49,117.28,114.54,116.6,92276772
28/10/2020 16:00:00,115.05,115.43,111.1,111.2,143937823
29/10/2020 16:00:00,112.37,116.93,112.2,115.32,146129173
30/10/2020 16:00:00,111.06,111.99,107.72,108.86,190573476
02/11/2020 16:00:00,109.11,110.68,107.32,108.77,122866899
03/11/2020 16:00:00,109.66,111.49,108.73,110.44,107624448
04/11/2020 16:00:00,114.14,115.59,112.35,114.95,138235482
05/11/2020 16:00:00,117.95,119.62,116.87,119.03,126387074
06/11/2020 16:00:00,118.32,119.2,116.13,118.69,114457922
09/11/2020 16:00:00,120.5,121.99,116.05,116.32,154515315
10/11/2020 16:00:00,115.55,117.59,114.13,115.97,138023390
11/11/2020 16:00:00,117.19,119.63,116.44,119.49,112294954
12/11/2020 16:00:00,119.62,120.53,118.57,119.21,103350674
13/11/2020 16:00:00,119.44,119.67,117.87,119.26,81688586
16/11/2020 16:00:00,118.92,120.99,118.15,120.3,91183018
17/11/2020 16:00:00,119.55,120.67,118.96,119.39,74270973
18/11/2020 16:00:00,118.61,119.82,118,118.03,76322111
19/11/2020 16:00:00,117.59,119.06,116.81,118.64,74112972
20/11/2020 16:00:00,118.64,118.77,117.29,117.34,73604287
23/11/2020 16:00:00,117.18,117.62,113.75,113.85,127959318
24/11/2020 16:00:00,113.91,115.85,112.59,115.17,113874218
25/11/2020 16:00:00,115.55,116.75,115.17,116.03,76499234
27/11/2020 13:00:00,116.57,117.49,116.22,116.59,46691331
30/11/2020 16:00:00,116.97,120.97,116.81,119.05,169410176
01/12/2020 16:00:00,121.01,123.47,120.01,122.72,128166803
02/12/2020 16:00:00,122.02,123.37,120.89,123.08,89004195
03/12/2020 16:00:00,123.52,123.78,122.21,122.94,78967630
04/12/2020 16:00:00,122.6,122.86,121.52,122.25,78260421
07/12/2020 16:00:00,122.31,124.57,122.25,123.75,86711990
08/12/2020 16:00:00,124.37,124.98,123.09,124.38,82225512
09/12/2020 16:00:00,124.53,125.95,121,121.78,115089193
10/12/2020 16:00:00,120.5,123.87,120.15,123.24,81312170
11/12/2020 16:00:00,122.43,122.76,120.55,122.41,86939786
14/12/2020 16:00:00,122.6,123.35,121.54,121.78,79075988
15/12/2020 16:00:00,124.34,127.9,124.13,127.88,157572262
16/12/2020 16:00:00,127.41,128.37,126.56,127.81,98208591
17/12/2020 16:00:00,128.9,129.58,128.04,128.7,94359811
18/12/2020 16:00:00,128.96,129.1,126.12,126.66,192541496
21/12/2020 16:00:00,125.02,128.31,123.45,128.23,121251553
22/12/2020 16:00:00,131.61,134.41,129.65,131.88,169351825
23/12/2020 16:00:00,132.16,132.43,130.78,130.96,88223692
24/12/2020 13:00:00,131.32,133.46,131.1,131.97,54930064
28/12/2020 16:00:00,133.99,137.34,133.51,136.69,124486237
29/12/2020 16:00:00,138.05,138.79,134.34,134.87,121047324
30/12/2020 16:00:00,135.58,135.99,133.4,133.72,96452124
31/12/2020 16:00:00,134.08,134.74,131.72,132.69,99116586
